timestamp_utc,run_id,epoch,seed,rows_ingested,emulator_rows,padding_rows,backend,query_shape,es_large_compression,cache_mode,repeat_count,mean_elapsed_ms,median_elapsed_ms,p90_elapsed_ms,p100_elapsed_ms,min_elapsed_ms,max_elapsed_ms,std_elapsed_ms,mean_es_took_ms,median_es_took_ms,json_path
2026-05-27T21:50:10.035783+00:00,1,2,1001,1000000,0,1000000,es_default,all_in,1000,es_cache_disabled,10,900.8188,895.6771,927.1690,930.1909,881.2281,930.1909,16.5455,25.6900,25.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch02.json
2026-05-27T21:50:10.035835+00:00,1,2,1001,1000000,0,1000000,es_large,all_in,1000,es_cache_disabled,10,1705.5921,1706.5270,1715.7092,1723.7149,1694.0243,1723.7149,9.9690,52.3833,52.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch02.json
2026-05-27T21:54:30.043065+00:00,1,3,1001,1000000,0,1000000,server,p50,1000,na,10,3.2399,3.0836,3.3905,5.0964,2.8093,5.0964,0.6644,,,data/multi_run_epoch_query_breakdown_raw/run01_epoch03.json
2026-05-27T21:54:30.043426+00:00,1,3,1001,1000000,0,1000000,es_default,p50,1000,es_cache_disabled,10,822.6512,810.3905,858.3258,890.9457,788.3404,890.9457,33.7596,23.1133,22.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch03.json
2026-05-27T21:54:30.043501+00:00,1,3,1001,1000000,0,1000000,es_large,p50,1000,es_cache_disabled,10,1669.2176,1615.8972,1754.1318,2151.6135,1527.8951,2151.6135,181.7357,51.2633,50.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch03.json
2026-05-27T21:54:30.043561+00:00,1,3,1001,1000000,0,1000000,server,p90,1000,na,10,3.3854,3.1729,3.4877,5.2711,3.0801,5.2711,0.6671,,,data/multi_run_epoch_query_breakdown_raw/run01_epoch03.json
2026-05-27T21:54:30.043617+00:00,1,3,1001,1000000,0,1000000,es_default,p90,1000,es_cache_disabled,10,1431.9718,1428.3695,1438.9813,1455.4918,1424.1252,1455.4918,9.1996,43.4233,43.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch03.json
2026-05-27T21:54:30.043677+00:00,1,3,1001,1000000,0,1000000,es_large,p90,1000,es_cache_disabled,10,1998.5008,1975.4025,2004.0277,2209.8118,1970.3255,2209.8118,74.3506,61.3067,61.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch03.json
2026-05-27T21:54:30.043733+00:00,1,3,1001,1000000,0,1000000,server,p100,1000,na,10,3.5360,3.2296,4.3068,5.4236,3.1694,5.4236,0.7298,,,data/multi_run_epoch_query_breakdown_raw/run01_epoch03.json
2026-05-27T21:54:30.043788+00:00,1,3,1001,1000000,0,1000000,es_default,p100,1000,es_cache_disabled,10,1427.6080,1426.4685,1432.6348,1436.9134,1423.8564,1436.9134,4.0158,43.2967,43.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch03.json
2026-05-27T21:54:30.043840+00:00,1,3,1001,1000000,0,1000000,es_large,p100,1000,es_cache_disabled,10,1987.7513,1975.8163,2010.9038,2050.4568,1972.0605,2050.4568,25.0790,61.7167,61.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch03.json
2026-05-27T21:54:30.043893+00:00,1,3,1001,1000000,0,1000000,server,all_quantile,1000,na,10,3.8213,3.4745,4.1848,6.3818,3.3618,6.3818,0.9160,,,data/multi_run_epoch_query_breakdown_raw/run01_epoch03.json
