group,epoch,node,agg_name,time_ns,build_ns,collect_ns,post_ns,reduce_ns
all,1,N030,cpu_sum,3837494,1222,3784977,115,0
all,1,N030,mem_sum,3833797,332,3802210,53,0
all,1,N030,net_sum,3874985,2680,3839800,53,0
single,1,N001,cpu_pct,15843766,33825,15706537,861,0
single,1,N001,mem_pct,8400417,46947,8315082,77,0
single,1,N001,net_pct,17085759,21038,16986025,61,0
single,1,N001,cpu_sum,4229034,1019,4189153,126,0
single,1,N001,mem_sum,4315972,242,4285224,82,0
single,1,N001,net_sum,4539034,369,4503915,57,0
all,2,N001,cpu_pct,9942330,56866,9812302,669,0
all,2,N001,mem_pct,9160715,23206,9116982,80,0
all,2,N001,net_pct,28789110,60837,28700951,80,0
all,2,N001,cpu_sum,4123445,1159,4098450,110,0
all,2,N001,mem_sum,4077295,326,4055639,95,0
all,2,N001,net_sum,4041442,205,4023938,78,0
all,2,N002,cpu_pct,14522180,86323,14365412,969,0
all,2,N002,mem_pct,21782358,88225,21667519,66,0
all,2,N002,net_pct,23172698,56473,23080740,85,0
all,2,N002,cpu_sum,4394318,1754,4371604,137,0
all,2,N002,mem_sum,4294098,290,4275618,91,0
all,2,N002,net_sum,4374373,301,4354803,82,0
all,2,N003,cpu_pct,15507545,41318,15406620,704,0
all,2,N003,mem_pct,17424347,58711,17330537,86,0
all,2,N003,net_pct,15460476,80207,15355146,89,0
all,2,N003,cpu_sum,4347452,1360,4323261,145,0
all,2,N003,mem_sum,4628598,446,4608590,99,0
all,2,N003,net_sum,4510053,379,4490732,84,0
all,2,N004,cpu_pct,13895265,84380,13737847,809,0
all,2,N004,mem_pct,7524207,79117,7411885,84,0
all,2,N004,net_pct,10623584,67174,10532765,80,0
all,2,N004,cpu_sum,4484365,1502,4448941,177,0
all,2,N004,mem_sum,4265935,338,4242163,80,0
all,2,N004,net_sum,4271483,212,4244917,78,0
all,2,N005,cpu_pct,5913135,53340,5803310,642,0
all,2,N005,mem_pct,12917298,39617,12856674,82,0
all,2,N005,net_pct,14769898,22245,14721149,83,0
all,2,N005,cpu_sum,4317709,1206,4292491,134,0
all,2,N005,mem_sum,4305610,365,4280249,100,0
all,2,N005,net_sum,4308145,229,4285696,82,0
all,2,N006,cpu_pct,27973715,106859,27809374,904,0
all,2,N006,mem_pct,16562548,105265,16419956,83,0
all,2,N006,net_pct,16378899,89935,16264342,158,0
all,2,N006,cpu_sum,4289286,2294,4253613,158,0
all,2,N006,mem_sum,4304941,392,4284769,128,0
all,2,N006,net_sum,4303743,468,4279623,134,0
all,2,N007,cpu_pct,8627552,91537,8475449,763,0
all,2,N007,mem_pct,21928889,18772,21882506,97,0
all,2,N007,net_pct,9312210,33359,9259040,86,0
all,2,N007,cpu_sum,4374306,1800,4344308,141,0
all,2,N007,mem_sum,4250106,346,4232684,92,0
all,2,N007,net_sum,4289730,240,4264831,82,0
all,2,N008,cpu_pct,17181694,60205,17065681,696,0
all,2,N008,mem_pct,10343655,37828,10283646,109,0
all,2,N008,net_pct,17398217,45904,17331054,86,0
all,2,N008,cpu_sum,4400220,1145,4370873,134,0
all,2,N008,mem_sum,4385180,401,4363562,86,0
all,2,N008,net_sum,4378873,362,4351022,85,0
all,2,N009,cpu_pct,18286587,34346,18194419,694,0
all,2,N009,mem_pct,5534608,74616,5433279,104,0
all,2,N009,net_pct,11355767,50294,11284439,104,0
all,2,N009,cpu_sum,4333723,1530,4305009,162,0
all,2,N009,mem_sum,4322940,414,4304907,88,0
all,2,N009,net_sum,4345402,232,4319238,86,0
all,2,N010,cpu_pct,38105395,105346,37937936,960,0
all,2,N010,mem_pct,21674325,53558,21587503,113,0
all,2,N010,net_pct,6954082,60882,6857895,111,0
all,2,N010,cpu_sum,4661315,1847,4637821,162,0
all,2,N010,mem_sum,4653570,350,4623692,120,0
all,2,N010,net_sum,4639812,275,4617298,102,0
all,2,N011,cpu_pct,24825137,34197,24732548,738,0
all,2,N011,mem_pct,15016487,12411,14982933,92,0
all,2,N011,net_pct,15002529,34981,14932462,91,0
all,2,N011,cpu_sum,4247065,1822,4226565,129,0
all,2,N011,mem_sum,4252917,351,4230953,89,0
all,2,N011,net_sum,4268094,226,4243384,56,0
all,2,N012,cpu_pct,14989887,30865,14891967,970,0
all,2,N012,mem_pct,6540343,56476,6460549,83,0
all,2,N012,net_pct,9169793,53111,9088628,84,0
all,2,N012,cpu_sum,4303775,1404,4279726,160,0
all,2,N012,mem_sum,4543587,312,4525640,63,0
all,2,N012,net_sum,4512926,222,4498750,81,0
all,2,N013,cpu_pct,6512334,35636,6424104,796,0
all,2,N013,mem_pct,16882136,23638,16834486,66,0
all,2,N013,net_pct,6641586,73501,6539134,65,0
all,2,N013,cpu_sum,4275586,1233,4250505,140,0
all,2,N013,mem_sum,4669504,313,4652518,97,0
all,2,N013,net_sum,4249456,230,4224102,56,0
all,2,N014,cpu_pct,18506864,93085,18348689,892,0
all,2,N014,mem_pct,23044823,33450,22987071,99,0
all,2,N014,net_pct,20916861,88879,20796442,97,0
all,2,N014,cpu_sum,4327958,1383,4305651,133,0
all,2,N014,mem_sum,4377136,339,4346817,96,0
all,2,N014,net_sum,4326934,269,4311326,57,0
all,2,N015,cpu_pct,6744644,50728,6642624,926,0
all,2,N015,mem_pct,7487902,30049,7425467,117,0
all,2,N015,net_pct,10577926,56736,10494193,94,0
all,2,N015,cpu_sum,4270932,1305,4250986,126,0
all,2,N015,mem_sum,4243889,455,4229033,109,0
all,2,N015,net_sum,4285918,231,4246227,84,0
all,2,N016,cpu_pct,9488189,79588,9354184,895,0
all,2,N016,mem_pct,12211680,65763,12119329,94,0
all,2,N016,net_pct,9896892,84299,9776637,83,0
all,2,N016,cpu_sum,4364992,1264,4338414,106,0
all,2,N016,mem_sum,4391194,449,4364741,100,0
all,2,N016,net_sum,4352287,220,4331659,91,0
all,2,N017,cpu_pct,14532225,61936,14411307,870,0
all,2,N017,mem_pct,6313660,47208,6236644,85,0
all,2,N017,net_pct,13451808,15286,13408106,83,0
all,2,N017,cpu_sum,4319737,1278,4300992,117,0
all,2,N017,mem_sum,4306768,275,4287315,94,0
all,2,N017,net_sum,4459943,233,4441338,84,0
all,2,N018,cpu_pct,15460589,79959,15332328,798,0
all,2,N018,mem_pct,14233691,78218,14134426,81,0
all,2,N018,net_pct,8635919,18056,8594746,78,0
all,2,N018,cpu_sum,3298966,1418,3278660,125,0
all,2,N018,mem_sum,3290703,246,3274749,64,0
all,2,N018,net_sum,3314031,324,3294384,81,0
all,2,N019,cpu_pct,11788831,89213,11637121,819,0
all,2,N019,mem_pct,10556812,54122,10472875,83,0
all,2,N019,net_pct,15866253,54395,15789508,81,0
all,2,N019,cpu_sum,4324592,1332,4299541,124,0
all,2,N019,mem_sum,4897001,272,4878575,85,0
all,2,N019,net_sum,7096691,248,7076256,83,0
all,2,N020,cpu_pct,4206266,42471,4103501,570,0
all,2,N020,mem_pct,13444796,41714,13383230,80,0
all,2,N020,net_pct,6546435,47529,6470643,80,0
all,2,N020,cpu_sum,2820149,950,2787348,154,0
all,2,N020,mem_sum,2761877,371,2740217,117,0
all,2,N020,net_sum,2960134,217,2946856,82,0
all,2,N021,cpu_pct,21030254,66821,20913236,752,0
all,2,N021,mem_pct,7447172,59616,7367399,85,0
all,2,N021,net_pct,14821197,31592,14768363,108,0
all,2,N021,cpu_sum,4530936,1128,4514574,142,0
all,2,N021,mem_sum,4415344,317,4399906,97,0
all,2,N021,net_sum,4361807,249,4340212,85,0
all,2,N022,cpu_pct,17283756,42853,17197262,854,0
all,2,N022,mem_pct,8192365,19113,8152218,100,0
all,2,N022,net_pct,20924736,54766,20842299,80,0
all,2,N022,cpu_sum,4334017,1298,4313190,268,0
all,2,N022,mem_sum,4384320,334,4363129,90,0
all,2,N022,net_sum,4337607,246,4320035,82,0
all,2,N023,cpu_pct,9118909,41208,9029431,1020,0
all,2,N023,mem_pct,18016451,75670,17915656,79,0
all,2,N023,net_pct,15575014,43838,15502607,84,0
all,2,N023,cpu_sum,4185369,1009,4166973,180,0
all,2,N023,mem_sum,4196835,358,4172943,78,0
all,2,N023,net_sum,4205692,214,4191325,78,0
all,2,N024,cpu_pct,17720250,49095,17627004,710,0
all,2,N024,mem_pct,15223744,48492,15150843,100,0
all,2,N024,net_pct,23501540,68092,23413224,122,0
all,2,N024,cpu_sum,4381292,956,4355439,152,0
all,2,N024,mem_sum,4342294,386,4322707,95,0
all,2,N024,net_sum,5122852,242,5103783,88,0
all,2,N025,cpu_pct,8993748,52369,8898211,565,0
all,2,N025,mem_pct,7957988,63319,7874513,92,0
all,2,N025,net_pct,21088320,30435,21035742,73,0
all,2,N025,cpu_sum,3634150,943,3614601,111,0
all,2,N025,mem_sum,3551359,295,3528957,73,0
all,2,N025,net_sum,3582693,218,3563492,53,0
all,2,N026,cpu_pct,28218486,63628,28108758,603,0
