timestamp_utc,run,epoch,rows,usage_quantile,arrivals,sketch_ingest_ms,es_ingest_ms,sketch_query_ms,es_query_ms,sketch_solver_ms,es_solver_ms,sketch_solver_status,es_solver_status,sketch_assigned,es_assigned,sketch_pending_before,es_pending_before,sketch_running,es_running,sketch_completed,es_completed,sketch_dropped,es_dropped,sketch_objective,es_objective,cpu_q_max_abs_err,cpu_q_max_rel_err_pct,mem_q_max_abs_err,solver_backend
2026-09-06T07:18:30.380487+00:00,6,3,996800,50.0,64,3193.701,30219.354,5.627,720.890,1716.403,618.056,OPTIMAL,OPTIMAL,67,67,67,67,137,138,109,108,0,0,67.000000,67.000000,0.13916812,36.310524,0.00593446,SCIP
2026-09-06T07:19:09.843231+00:00,6,4,996800,50.0,56,3208.418,29004.959,5.210,706.177,135.722,143.784,OPTIMAL,OPTIMAL,56,56,56,56,131,130,171,172,0,0,56.000000,56.000000,0.16916176,36.682516,0.00647597,SCIP
2026-09-06T07:20:14.599814+00:00,6,5,996800,50.0,69,3193.880,30020.256,5.532,923.598,7349.631,16877.608,OPTIMAL,OPTIMAL,68,68,69,69,139,139,231,231,0,0,68.000000,68.000000,0.12867671,30.325271,0.00388515,SCIP
2026-09-06T07:21:18.796622+00:00,6,6,996800,50.0,67,3066.852,31315.416,5.342,1060.351,20119.186,2571.343,OPTIMAL,OPTIMAL,68,68,68,68,149,149,289,289,0,0,68.000000,68.000000,0.20061605,39.221580,0.00380367,SCIP
2026-09-06T07:23:16.406834+00:00,6,7,996800,50.0,69,3110.904,30715.400,5.751,961.540,60133.608,16478.696,FEASIBLE,OPTIMAL,64,65,69,69,146,147,356,356,0,0,64.000000,65.000000,0.21274235,40.968846,0.00923910,SCIP
2026-09-06T07:24:00.799839+00:00,6,8,996800,50.0,52,3127.384,31630.155,5.374,1078.104,1903.582,541.896,OPTIMAL,OPTIMAL,57,56,57,56,134,134,425,425,0,0,57.000000,56.000000,0.13667232,31.106466,0.00798173,SCIP
2026-09-06T07:24:40.964861+00:00,6,9,996800,50.0,46,3205.248,29587.227,5.203,903.168,116.057,73.002,OPTIMAL,OPTIMAL,46,46,46,46,114,114,491,491,0,0,46.000000,46.000000,0.15341850,32.896764,0.00507904,SCIP
2026-09-06T07:25:21.888273+00:00,7,0,996800,50.0,66,3196.763,29604.049,7.385,518.324,274.206,237.843,OPTIMAL,OPTIMAL,66,66,66,66,66,66,0,0,0,0,66.000000,66.000000,0.20541967,43.149810,0.00711488,SCIP
2026-09-06T07:26:02.346950+00:00,7,1,996800,50.0,61,3223.278,29940.438,5.670,597.799,144.100,165.695,OPTIMAL,OPTIMAL,61,61,61,61,120,120,7,7,0,0,61.000000,61.000000,0.20496940,39.687879,0.01033991,SCIP
2026-09-06T07:27:44.640069+00:00,7,2,996800,50.0,55,3197.414,29957.527,5.350,735.783,60128.296,1835.345,FEASIBLE,OPTIMAL,52,52,55,55,132,132,47,47,0,0,52.000000,52.000000,0.21760747,44.342227,0.00534453,SCIP
