request_id,request_type,status,total_ms,estimate_ms,json_ms
187e6bc3,node_metrics,200 OK,267.122,129.272,2.320
62b4be39,node_metrics,200 OK,260.001,125.635,2.350
36345e6a,node_metrics,200 OK,259.533,125.479,2.440
0c4dc39c,node_metrics,200 OK,180.522,86.598,1.615
91283680,node_metrics,200 OK,257.049,124.256,2.351
4c725156,node_metrics,200 OK,260.577,125.922,2.344
ea302d17,node_metrics,200 OK,261.499,126.563,2.370
fd126929,node_metrics,200 OK,260.814,126.222,2.364
2c03c094,node_metrics,200 OK,182.439,87.739,1.271
e995be4d,node_metrics,200 OK,190.598,92.480,1.606
e02d07ac,node_metrics,200 OK,260.838,126.170,2.340
3378ed21,node_metrics,200 OK,202.839,98.117,1.560
ce9bae81,node_metrics,200 OK,261.133,126.286,2.350
b795fd62,node_metrics,200 OK,260.377,125.989,2.337
d75cd413,node_metrics,200 OK,247.107,119.180,2.066
5b4c51b3,node_metrics,200 OK,260.302,126.219,2.319
d0728f03,node_metrics,200 OK,261.045,126.120,2.332
9ef6734b,node_metrics,200 OK,259.240,125.808,2.431
39bc9f1d,node_metrics,200 OK,208.548,98.297,3.587
53b9e43b,node_metrics,200 OK,257.382,124.947,2.356
9600304b,node_metrics,200 OK,261.231,126.225,2.348
f2159354,node_metrics,200 OK,259.154,125.774,2.442
b036f5b7,node_metrics,200 OK,259.999,126.068,2.351
5e6be524,node_metrics,200 OK,254.239,122.348,3.500
51ccf189,node_metrics,200 OK,261.350,125.596,2.424
a32b69a0,node_metrics,200 OK,260.197,125.658,2.403
112e168c,node_metrics,200 OK,194.541,93.351,1.452
bdad566f,node_metrics,200 OK,262.788,127.025,2.427
f289ab77,node_metrics,200 OK,258.902,125.443,2.357
7fe304a3,node_metrics,200 OK,262.733,126.332,2.373
ddfbbafe,node_metrics,200 OK,261.340,126.303,2.403
e45cd7bb,node_metrics,200 OK,202.963,98.066,2.328
0d91d39e,node_metrics,200 OK,260.894,125.614,2.354
a0d28580,node_metrics,200 OK,262.146,125.891,2.338
ff3e24b8,node_metrics,200 OK,258.687,125.647,2.341
a9ae2424,node_metrics,200 OK,259.296,125.842,2.373
9eb66cb6,node_metrics,200 OK,262.152,127.223,2.357
f39c0c45,node_metrics,200 OK,257.327,124.308,2.367
1e107ec3,node_metrics,200 OK,260.406,126.037,2.353
3d8a9b66,node_metrics,200 OK,259.104,125.256,2.412
b2f5ceb6,node_metrics,200 OK,197.284,94.571,2.337
9fb10ecb,node_metrics,200 OK,262.044,126.587,2.439
24fc0295,node_metrics,200 OK,260.533,126.237,2.357
aac132c0,node_metrics,200 OK,261.080,126.104,2.328
c90e99dc,node_metrics,200 OK,261.246,126.358,2.359
33f93903,node_metrics,200 OK,258.899,125.381,2.368
8af43495,node_metrics,200 OK,259.851,125.575,2.361
3ea0c83c,node_metrics,200 OK,260.772,125.892,2.470
e7a305e9,node_metrics,200 OK,204.323,98.330,1.581
b52e7a63,node_metrics,200 OK,151.137,68.081,2.066
f6ee0831,node_metrics,200 OK,202.871,97.666,1.620
b10cfe96,node_metrics,200 OK,206.192,98.874,2.400
64fafbc3,node_metrics,200 OK,201.925,97.537,1.583
cc4d18aa,node_metrics,200 OK,260.866,125.468,2.342
eebf385c,node_metrics,200 OK,202.893,97.765,1.584
8c905177,node_metrics,200 OK,258.105,125.416,2.405
2df4276a,node_metrics,200 OK,201.613,97.615,1.589
ac653a07,node_metrics,200 OK,258.904,125.208,2.365
7a80b2f7,node_metrics,200 OK,200.949,96.850,1.063
7d87fd53,node_metrics,200 OK,262.287,126.043,2.382
1bd11066,node_metrics,200 OK,201.096,97.016,1.597
8b544db2,node_metrics,200 OK,261.512,126.366,2.422
f18eec36,node_metrics,200 OK,203.670,98.361,1.623
425ac4f1,node_metrics,200 OK,203.317,97.876,2.379
0c8d4522,node_metrics,200 OK,203.293,98.288,1.603
9c513814,node_metrics,200 OK,261.914,126.626,2.391
46bf0fdb,node_metrics,200 OK,203.282,98.263,1.609
cd322bfc,node_metrics,200 OK,261.340,126.436,2.344
533407c1,node_metrics,200 OK,203.800,98.313,1.623
5ea7788c,node_metrics,200 OK,262.939,127.023,2.395
13983304,node_metrics,200 OK,201.954,97.891,1.581
86eebea3,node_metrics,200 OK,260.369,125.835,2.354
719735f2,node_metrics,200 OK,203.196,98.182,1.549
4af1b449,node_metrics,200 OK,262.426,126.815,2.416
f61268e2,node_metrics,200 OK,203.649,98.334,1.639
89e5bde8,node_metrics,200 OK,262.409,126.656,2.401
bd4d9067,node_metrics,200 OK,250.469,120.735,2.517
a4bb7486,node_metrics,200 OK,256.796,124.705,2.363
e7176573,node_metrics,200 OK,312.384,151.524,2.796
84e41c48,node_metrics,200 OK,211.448,99.967,2.671
2710b3be,node_metrics,200 OK,201.800,97.488,1.595
44318b2f,node_metrics,200 OK,244.961,118.334,2.397
d7f69a8d,node_metrics,200 OK,201.409,97.425,1.571
79425071,node_metrics,200 OK,259.098,125.425,2.405
