run,epoch,node,metric,count,gt_p50,gt_p90,gt_p100,sketch_p100,es_default_p100,es_large_p100,sketch_rel_err,sketch_over_gt,tail_undershoot_frac
1,1,N030,cpu_cores,33453,0.3058383041988156,0.5456583386522543,2.3790721168289766,1.2322386353180512,2.3790721893310547,2.3790721893310547,0.4820507429760135,0.5179492570239865,0.5531616716476474
1,1,N030,memory_gb,33453,1.2172515751830983,2.1789876570665774,6.835607018117496,4.923273706861095,6.835607051849365,6.835607051849365,0.2797605693521936,0.7202394306478064,0.3403724329441167
1,1,N030,network_mbps,33453,4.950485875744642,8.980810048836753,9.999674284942769,9.983859049454331,9.999673843383789,9.999673843383789,0.0015815750631249753,0.998418424936875,0.0031322331841740886
1,1,N015,cpu_cores,33453,0.6090525430203129,1.091092970348275,2.952824681760385,2.3004861518525597,2.952824592590332,2.952824592590332,0.22092016974029116,0.7790798302597088,0.2783284770415008
1,1,N015,memory_gb,33453,2.4302376721335675,4.368654705342174,12.580137337767912,9.644541356589563,12.580137252807617,12.580137252807617,0.23335166400490268,0.7666483359950973,0.2892241379604693
1,1,N015,network_mbps,33453,5.0012344581697,8.990173680458588,9.999980157044714,9.996059235686603,9.999979972839355,9.999979972839355,0.00039209291383927755,0.9996079070861608,0.0007843810416267097
1,1,N028,cpu_cores,33453,0.3076628786772913,0.5463223660432298,2.8020015437453436,1.8104335603929156,2.802001476287842,2.802001476287842,0.35387845719279354,0.6461215428072065,0.39752740766072975
1,1,N028,memory_gb,33453,1.2233816728552984,2.1788419373148873,10.238290391159277,7.401595125058799,10.238290786743164,10.238290786743164,0.27706727956749033,0.7229327204325097,0.3146671092010968
1,1,N028,network_mbps,33453,5.007102506880956,8.994742424705342,9.999268816103847,9.981721981089786,9.999268531799316,9.999268531799316,0.0017548118104197404,0.9982451881895803,0.0035148738898468884
1,1,N002,cpu_cores,33454,0.6121528599525982,1.0924399732782408,3.9286920450373235,2.388462450296546,3.928692102432251,3.928692102432251,0.39204640554262254,0.6079535944573775,0.46440868290281645
1,1,N002,memory_gb,33454,2.3990906492783135,4.356648711785603,19.87792757298083,5.13417677858741,19.877927780151367,19.877927780151367,0.741714685309244,0.258285314690756,0.843520130015051
1,1,N002,network_mbps,33454,9.911081462130642,17.975507465171486,19.99977597144045,19.937237339181195,19.99977684020996,19.99977684020996,0.0031269666394543355,0.9968730333605457,0.006198882541397632
1,1,N001,cpu_cores,33454,0.30972496010520767,0.5443814570850721,3.1780858561133263,3.086066971351085,3.1780858039855957,3.1780858039855957,0.02895418466597899,0.971045815334021,0.03208065097049097
1,1,N001,memory_gb,33454,1.226841855749818,2.1803850888557204,9.351993655859875,7.262358115417202,9.351993560791016,9.351993560791016,0.2234427884939086,0.7765572115060914,0.2571811077319649
1,1,N001,network_mbps,33454,9.769266059812534,17.97876285253265,19.99876045456681,19.95130321959081,19.998760223388672,19.998760223388672,0.002373008821412423,0.9976269911785876,0.004639255191374582
