timestamp_utc,rows,server_rtt_ms,es_rtt_ms
2026-02-11T15:52:51.706071+00:00,590000,10.8384,494.7415
2026-02-11T15:54:14.044138+00:00,600000,13.6471,625.8482
2026-02-11T15:55:37.602394+00:00,610000,10.7475,604.4785
2026-02-11T15:57:00.956952+00:00,620000,12.0216,548.9792
2026-02-11T15:58:26.426568+00:00,630000,10.3317,537.1987
2026-02-11T15:59:54.108693+00:00,640000,10.4033,570.6649
2026-02-11T16:01:22.604369+00:00,650000,11.1389,560.5802
2026-02-11T16:02:53.365933+00:00,660000,13.7891,575.5112
2026-02-11T16:04:24.873283+00:00,670000,12.5631,552.7669
2026-02-11T16:05:58.657368+00:00,680000,12.9316,544.0250
2026-02-11T16:07:33.427604+00:00,690000,11.7464,595.3668
2026-02-11T16:09:09.296618+00:00,700000,11.2580,654.4323
2026-02-11T16:10:47.047374+00:00,710000,14.2187,614.6284
2026-02-11T16:12:26.065320+00:00,720000,13.8969,705.8996
2026-02-11T16:14:05.966470+00:00,730000,11.9505,654.4870
2026-02-11T16:15:50.068830+00:00,740000,11.7896,712.2536
2026-02-11T16:17:33.199145+00:00,750000,14.4460,742.3829
2026-02-11T16:19:17.174362+00:00,760000,13.1715,716.1101
2026-02-11T16:21:03.359429+00:00,770000,14.8711,739.3489
2026-02-11T16:22:49.438164+00:00,780000,14.8471,682.5302
2026-02-11T16:24:37.550475+00:00,790000,12.6093,646.4222
2026-02-11T16:26:26.662428+00:00,800000,16.7237,571.1424
2026-02-11T16:28:16.972060+00:00,810000,14.3934,777.2208
2026-02-11T16:30:09.391282+00:00,820000,13.8677,753.4615
2026-02-11T16:32:03.170791+00:00,830000,9.0989,767.8864
2026-02-11T16:33:58.443098+00:00,840000,9.3598,681.0442
2026-02-11T16:35:54.939919+00:00,850000,9.2000,770.8670
2026-02-11T16:37:52.719802+00:00,860000,11.3251,841.7398
2026-02-11T16:39:51.002309+00:00,870000,11.9473,911.8287
2026-02-11T16:41:51.586664+00:00,880000,10.4220,881.4530
2026-02-11T16:43:53.027593+00:00,890000,12.1148,693.6868
2026-02-11T16:45:55.723699+00:00,900000,11.6434,883.6470
2026-02-11T16:48:01.866797+00:00,910000,12.4081,856.8331
2026-02-11T16:50:06.116069+00:00,920000,10.3908,922.3764
2026-02-11T16:52:11.524918+00:00,930000,11.3010,889.3697
2026-02-11T16:54:18.977754+00:00,940000,10.9177,893.1321
2026-02-11T16:56:27.205422+00:00,950000,12.3049,878.9522
2026-02-11T16:58:36.522979+00:00,960000,10.7861,939.2694
2026-02-11T17:00:47.938469+00:00,970000,13.0374,961.5642
2026-02-11T17:03:00.483422+00:00,980000,11.9717,978.4244
2026-02-11T17:05:14.051588+00:00,990000,12.2241,934.0597
2026-02-11T17:07:27.776543+00:00,1000000,11.1989,952.2476
